,carat,cut,cut_ord,color,clarity,clarity_ord,Price,RECAP Price,,,,
961,1.31,Very Good,3,F,VS1,4,"8,042.33",8042.33,,,,
31,1.31,Good,2,I,VS1,4,"7,884.23",7884.23,,,,
2573,1.3,Ideal,5,D,SI1,3,"7,820.40",7820.4,,,,
286,1.3,Premium,4,I,SI1,3,"7,662.30",7662.3,,,,
678,1.3,Premium,4,H,SI1,3,"7,662.30",7662.3,,,,
890,1.3,Premium,4,I,IF,8,"9,932.30",9932.3,,,,
2066,1.3,Premium,4,D,SI1,3,"7,662.30",7662.3,,,,
2252,1.3,Premium,4,G,VS2,5,"8,570.30",8570.3,,,,
1302,1.3,Good,2,J,SI2,2,"6,892.10",6892.1,,,,
1594,1.3,Fair,1,H,I1,1,"6,280.00",6280,,,,
155,1.29,Premium,4,F,SI1,3,"7,578.17",7578.17,,,,
425,1.29,Premium,4,I,VS1,4,"8,032.17",8032.17,,,,
2503,1.29,Good,2,I,VS2,5,"8,169.97",8169.97,,,,
584,1.28,Ideal,5,G,VS1,4,"8,106.14",8106.14,,,,
1272,1.28,Ideal,5,H,SI2,2,"7,198.14",7198.14,,,,
2472,1.28,Ideal,5,H,VVS1,7,"9,468.14",9468.14,,,,
2558,1.28,Ideal,5,G,I1,1,"6,744.14",6744.14,,,,
2881,1.28,Ideal,5,G,SI1,3,"7,652.14",7652.14,,,,
2885,1.28,Ideal,5,H,SI1,3,"7,652.14",7652.14,,,,
2940,1.28,Ideal,5,G,SI1,3,"7,652.14",7652.14,,,,
2060,1.27,Ideal,5,G,VS2,5,"8,476.01",8476.01,,,,
2748,1.27,Ideal,5,H,SI1,3,"7,568.01",7568.01,,,,
255,1.26,Ideal,5,H,VS1,4,"7,937.88",7937.88,,,,
763,1.26,Ideal,5,I,SI2,2,"7,029.88",7029.88,,,,
1675,1.26,Ideal,5,H,SI1,3,"7,483.88",7483.88,,,,
1906,1.26,Ideal,5,G,VS1,4,"7,937.88",7937.88,,,,
2046,1.26,Ideal,5,J,SI1,3,"7,483.88",7483.88,,,,
583,1.26,Premium,4,I,SI1,3,"7,325.78",7325.78,,,,
62,1.26,Very Good,3,G,VVS2,6,"8,529.68",8529.68,,,,
1688,1.26,Very Good,3,I,VS1,4,"7,621.68",7621.68,,,,
2277,1.26,Very Good,3,G,SI1,3,"7,167.68",7167.68,,,,
608,1.25,Ideal,5,J,SI1,3,"7,399.75",7399.75,,,,
659,1.25,Ideal,5,J,VS2,5,"8,307.75",8307.75,,,,
1072,1.25,Ideal,5,E,SI2,2,"6,945.75",6945.75,,,,
1162,1.25,Ideal,5,H,VS2,5,"8,307.75",8307.75,,,,
1309,1.25,Ideal,5,G,VVS2,6,"8,761.75",8761.75,,,,
1727,1.25,Ideal,5,F,VS1,4,"7,853.75",7853.75,,,,
1907,1.25,Ideal,5,J,VS1,4,"7,853.75",7853.75,,,,
2181,1.25,Ideal,5,I,VS2,5,"8,307.75",8307.75,,,,
2852,1.25,Ideal,5,H,SI1,3,"7,399.75",7399.75,,,,
669,1.25,Premium,4,H,SI2,2,"6,787.65",6787.65,,,,
2272,1.25,Premium,4,J,SI1,3,"7,241.65",7241.65,,,,
2273,1.25,Premium,4,H,VS2,5,"8,149.65",8149.65,,,,
2367,1.25,Premium,4,H,SI2,2,"6,787.65",6787.65,,,,
2000,1.25,Very Good,3,I,SI1,3,"7,083.55",7083.55,,,,
123,1.25,Good,2,I,SI2,2,"6,471.45",6471.45,,,,
1431,1.24,Ideal,5,H,SI2,2,"6,861.62",6861.62,,,,
1547,1.24,Ideal,5,H,SI1,3,"7,315.62",7315.62,,,,
1844,1.24,Ideal,5,E,VS2,5,"8,223.62",8223.62,,,,
2363,1.24,Ideal,5,D,VVS2,6,"8,677.62",8677.62,,,,
2474,1.24,Ideal,5,H,VS2,5,"8,223.62",8223.62,,,,
83,1.24,Premium,4,D,SI1,3,"7,157.52",7157.52,,,,
634,1.24,Premium,4,H,SI1,3,"7,157.52",7157.52,,,,
2229,1.24,Premium,4,G,IF,8,"9,427.52",9427.52,,,,
393,1.24,Very Good,3,H,VVS2,6,"8,361.42",8361.42,,,,
1038,1.23,Ideal,5,I,SI2,2,"6,777.49",6777.49,,,,
1195,1.23,Ideal,5,H,SI1,3,"7,231.49",7231.49,,,,
1731,1.23,Ideal,5,F,VVS2,6,"8,593.49",8593.49,,,,
1890,1.23,Ideal,5,I,SI1,3,"7,231.49",7231.49,,,,
2554,1.23,Ideal,5,H,VS2,5,"8,139.49",8139.49,,,,
2743,1.23,Ideal,5,F,SI2,2,"6,777.49",6777.49,,,,
1543,1.23,Premium,4,I,SI2,2,"6,619.39",6619.39,,,,
187,1.23,Very Good,3,G,SI2,2,"6,461.29",6461.29,,,,
1845,1.23,Very Good,3,F,VS1,4,"7,369.29",7369.29,,,,
2334,1.23,Good,2,J,SI1,3,"6,757.19",6757.19,,,,
2824,1.23,Good,2,I,VS1,4,"7,211.19",7211.19,,,,
142,1.22,Ideal,5,J,VS1,4,"7,601.36",7601.36,,,,
172,1.22,Ideal,5,G,VS1,4,"7,601.36",7601.36,,,,
629,1.22,Ideal,5,I,SI1,3,"7,147.36",7147.36,,,,
647,1.22,Ideal,5,G,VS2,5,"8,055.36",8055.36,,,,
718,1.22,Ideal,5,H,SI1,3,"7,147.36",7147.36,,,,
1266,1.22,Ideal,5,H,VS1,4,"7,601.36",7601.36,,,,
1538,1.22,Ideal,5,H,SI2,2,"6,693.36",6693.36,,,,
2660,1.22,Ideal,5,E,VVS2,6,"8,509.36",8509.36,,,,
2859,1.22,Ideal,5,I,VS1,4,"7,601.36",7601.36,,,,
2919,1.22,Ideal,5,G,VS1,4,"7,601.36",7601.36,,,,
1,1.22,Premium,4,G,SI1,3,"6,989.26",6989.26,,,,
1792,1.22,Premium,4,H,SI1,3,"6,989.26",6989.26,,,,
1808,1.22,Premium,4,D,VS2,5,"7,897.26",7897.26,,,,
2051,1.22,Premium,4,H,VS1,4,"7,443.26",7443.26,,,,
2497,1.22,Premium,4,E,SI1,3,"6,989.26",6989.26,,,,
2843,1.22,Premium,4,F,VS2,5,"7,897.26",7897.26,,,,
2995,1.22,Premium,4,I,SI2,2,"6,535.26",6535.26,,,,
824,1.22,Very Good,3,H,SI1,3,"6,831.16",6831.16,,,,
1137,1.22,Very Good,3,H,VS1,4,"7,285.16",7285.16,,,,
1407,1.22,Good,2,G,SI2,2,"6,219.06",6219.06,,,,
445,1.21,Ideal,5,F,VS2,5,"7,971.23",7971.23,,,,
500,1.21,Ideal,5,G,VS2,5,"7,971.23",7971.23,,,,
685,1.21,Ideal,5,G,VS1,4,"7,517.23",7517.23,,,,
918,1.21,Ideal,5,G,VS2,5,"7,971.23",7971.23,,,,
1046,1.21,Ideal,5,J,SI1,3,"7,063.23",7063.23,,,,
1459,1.21,Ideal,5,E,SI1,3,"7,063.23",7063.23,,,,
1771,1.21,Ideal,5,G,VVS1,7,"8,879.23",8879.23,,,,
2023,1.21,Ideal,5,F,SI2,2,"6,609.23",6609.23,,,,
2377,1.21,Ideal,5,G,VS1,4,"7,517.23",7517.23,,,,
2821,1.21,Ideal,5,H,SI1,3,"7,063.23",7063.23,,,,
37,1.21,Premium,4,I,SI2,2,"6,451.13",6451.13,,,,
101,1.21,Premium,4,H,SI2,2,"6,451.13",6451.13,,,,
365,1.21,Premium,4,J,VVS2,6,"8,267.13",8267.13,,,,
539,1.21,Premium,4,I,VS2,5,"7,813.13",7813.13,,,,
1447,1.21,Premium,4,G,VS2,5,"7,813.13",7813.13,,,,
2100,1.21,Premium,4,H,VS1,4,"7,359.13",7359.13,,,,
2210,1.21,Premium,4,E,SI2,2,"6,451.13",6451.13,,,,
2528,1.21,Premium,4,H,SI1,3,"6,905.13",6905.13,,,,
2777,1.21,Premium,4,H,SI1,3,"6,905.13",6905.13,,,,
476,1.21,Very Good,3,F,VS2,5,"7,655.03",7655.03,,,,
1234,1.21,Very Good,3,F,VS1,4,"7,201.03",7201.03,,,,
1651,1.21,Very Good,3,H,VS1,4,"7,201.03",7201.03,,,,
1672,1.21,Very Good,3,D,SI2,2,"6,293.03",6293.03,,,,
2570,1.21,Very Good,3,H,SI1,3,"6,747.03",6747.03,,,,
2603,1.21,Very Good,3,E,SI1,3,"6,747.03",6747.03,,,,
2908,1.21,Very Good,3,G,SI2,2,"6,293.03",6293.03,,,,
2915,1.21,Very Good,3,G,SI2,2,"6,293.03",6293.03,,,,
2973,1.21,Very Good,3,F,VS1,4,"7,201.03",7201.03,,,,
269,1.21,Good,2,H,VS1,4,"7,042.93",7042.93,,,,
1052,1.21,Good,2,J,VVS2,6,"7,950.93",7950.93,,,,
111,1.2,Ideal,5,G,VS1,4,"7,433.10",7433.1,,,,
1222,1.2,Ideal,5,D,SI1,3,"6,979.10",6979.1,,,,
1304,1.2,Ideal,5,G,VVS2,6,"8,341.10",8341.1,,,,
1317,1.2,Ideal,5,F,VVS1,7,"8,795.10",8795.1,,,,
1441,1.2,Ideal,5,E,VVS1,7,"8,795.10",8795.1,,,,
1610,1.2,Ideal,5,F,VS1,4,"7,433.10",7433.1,,,,
1664,1.2,Ideal,5,I,SI1,3,"6,979.10",6979.1,,,,
1716,1.2,Ideal,5,E,VVS1,7,"8,795.10",8795.1,,,,
2035,1.2,Ideal,5,G,VS1,4,"7,433.10",7433.1,,,,
2440,1.2,Ideal,5,F,VS2,5,"7,887.10",7887.1,,,,
2733,1.2,Ideal,5,G,VVS2,6,"8,341.10",8341.1,,,,
2921,1.2,Ideal,5,G,VS1,4,"7,433.10",7433.1,,,,
1036,1.2,Premium,4,H,SI2,2,"6,367.00",6367,,,,
1115,1.2,Premium,4,H,SI1,3,"6,821.00",6821,,,,
1301,1.2,Premium,4,G,SI1,3,"6,821.00",6821,,,,
1534,1.2,Premium,4,G,SI2,2,"6,367.00",6367,,,,
1712,1.2,Premium,4,E,VVS2,6,"8,183.00",8183,,,,
2268,1.2,Premium,4,H,VS1,4,"7,275.00",7275,,,,
2716,1.2,Premium,4,J,SI1,3,"6,821.00",6821,,,,
2830,1.2,Premium,4,F,SI2,2,"6,367.00",6367,,,,
362,1.2,Very Good,3,I,SI1,3,"6,662.90",6662.9,,,,
1297,1.2,Very Good,3,H,SI2,2,"6,208.90",6208.9,,,,
1970,1.2,Very Good,3,F,VVS2,6,"8,024.90",8024.9,,,,
2172,1.2,Very Good,3,J,SI1,3,"6,662.90",6662.9,,,,
2287,1.2,Very Good,3,F,SI1,3,"6,662.90",6662.9,,,,
2989,1.2,Very Good,3,G,SI2,2,"6,208.90",6208.9,,,,
557,1.2,Good,2,H,SI1,3,"6,504.80",6504.8,,,,
833,1.2,Good,2,J,VS2,5,"7,412.80",7412.8,,,,
1224,1.2,Good,2,E,VS2,5,"7,412.80",7412.8,,,,
1503,1.2,Fair,1,G,I1,1,"5,438.70",5438.7,,,,
641,1.19,Ideal,5,D,SI2,2,"6,440.97",6440.97,,,,
1466,1.19,Ideal,5,G,VVS1,7,"8,710.97",8710.97,,,,
2783,1.19,Ideal,5,F,VVS2,6,"8,256.97",8256.97,,,,
2909,1.19,Ideal,5,E,SI2,2,"6,440.97",6440.97,,,,
2690,1.19,Premium,4,G,VS2,5,"7,644.87",7644.87,,,,
199,1.19,Very Good,3,E,VS2,5,"7,486.77",7486.77,,,,
776,1.19,Very Good,3,H,SI1,3,"6,578.77",6578.77,,,,
783,1.19,Very Good,3,D,VVS1,7,"8,394.77",8394.77,,,,
2310,1.19,Fair,1,I,SI1,3,"6,262.57",6262.57,,,,
1366,1.18,Ideal,5,I,SI1,3,"6,810.84",6810.84,,,,
1409,1.18,Ideal,5,I,VS1,4,"7,264.84",7264.84,,,,
1837,1.18,Ideal,5,E,SI2,2,"6,356.84",6356.84,,,,
1971,1.18,Premium,4,G,SI2,2,"6,198.74",6198.74,,,,
2075,1.18,Premium,4,I,VS1,4,"7,106.74",7106.74,,,,
2621,1.18,Premium,4,H,SI1,3,"6,652.74",6652.74,,,,
2633,1.18,Premium,4,E,I1,1,"5,744.74",5744.74,,,,
2711,1.18,Premium,4,G,VS2,5,"7,560.74",7560.74,,,,
2685,1.18,Very Good,3,I,SI2,2,"6,040.64",6040.64,,,,
2704,1.18,Good,2,D,SI2,2,"5,882.54",5882.54,,,,
383,1.17,Ideal,5,I,SI2,2,"6,272.71",6272.71,,,,
434,1.17,Ideal,5,H,VS2,5,"7,634.71",7634.71,,,,
585,1.17,Ideal,5,G,VVS2,6,"8,088.71",8088.71,,,,
2193,1.17,Ideal,5,G,VS2,5,"7,634.71",7634.71,,,,
2220,1.17,Very Good,3,H,SI1,3,"6,410.51",6410.51,,,,
415,1.16,Ideal,5,F,VS2,5,"7,550.58",7550.58,,,,
873,1.16,Ideal,5,H,SI2,2,"6,188.58",6188.58,,,,
2984,1.16,Ideal,5,I,VS2,5,"7,550.58",7550.58,,,,
2044,1.16,Premium,4,G,VVS1,7,"8,300.48",8300.48,,,,
1450,1.16,Good,2,F,SI2,2,"5,714.28",5714.28,,,,
2756,1.16,Fair,1,H,SI2,2,"5,556.18",5556.18,,,,
579,1.15,Ideal,5,D,VS2,5,"7,466.45",7466.45,,,,
896,1.15,Ideal,5,H,SI2,2,"6,104.45",6104.45,,,,
1910,1.15,Ideal,5,J,VS1,4,"7,012.45",7012.45,,,,
2034,1.15,Ideal,5,G,VVS1,7,"8,374.45",8374.45,,,,
49,1.15,Premium,4,G,SI1,3,"6,400.35",6400.35,,,,
635,1.15,Premium,4,G,SI2,2,"5,946.35",5946.35,,,,
1013,1.15,Premium,4,E,SI2,2,"5,946.35",5946.35,,,,
1783,1.15,Premium,4,H,SI2,2,"5,946.35",5946.35,,,,
1624,1.15,Very Good,3,E,SI2,2,"5,788.25",5788.25,,,,
2855,1.15,Very Good,3,H,SI2,2,"5,788.25",5788.25,,,,
2816,1.15,Good,2,J,SI2,2,"5,630.15",5630.15,,,,
1851,1.14,Ideal,5,G,VS1,4,"6,928.32",6928.32,,,,
652,1.14,Premium,4,D,SI1,3,"6,316.22",6316.22,,,,
1489,1.14,Premium,4,F,SI1,3,"6,316.22",6316.22,,,,
591,1.14,Very Good,3,D,VS2,5,"7,066.12",7066.12,,,,
1065,1.14,Very Good,3,E,IF,8,"8,428.12",8428.12,,,,
1212,1.14,Very Good,3,J,SI1,3,"6,158.12",6158.12,,,,
2703,1.14,Very Good,3,G,SI2,2,"5,704.12",5704.12,,,,
2253,1.14,Good,2,G,SI2,2,"5,546.02",5546.02,,,,
117,1.13,Ideal,5,D,VS1,4,"6,844.19",6844.19,,,,
908,1.13,Ideal,5,F,SI1,3,"6,390.19",6390.19,,,,
1000,1.13,Ideal,5,I,VS2,5,"7,298.19",7298.19,,,,
1478,1.13,Ideal,5,H,SI1,3,"6,390.19",6390.19,,,,
1986,1.13,Ideal,5,G,VS2,5,"7,298.19",7298.19,,,,
2876,1.13,Ideal,5,H,SI1,3,"6,390.19",6390.19,,,,
407,1.13,Premium,4,G,VVS1,7,"8,048.09",8048.09,,,,
2775,1.13,Premium,4,J,VS1,4,"6,686.09",6686.09,,,,
97,1.13,Very Good,3,G,SI2,2,"5,619.99",5619.99,,,,
1760,1.13,Very Good,3,F,SI1,3,"6,073.99",6073.99,,,,
2892,1.13,Very Good,3,I,VS2,5,"6,981.99",6981.99,,,,
1123,1.13,Good,2,F,SI2,2,"5,461.89",5461.89,,,,
1607,1.13,Fair,1,F,VS1,4,"6,211.79",6211.79,,,,
2261,1.13,Fair,1,H,SI2,2,"5,303.79",5303.79,,,,
531,1.12,Ideal,5,H,SI1,3,"6,306.06",6306.06,,,,
691,1.12,Ideal,5,G,SI1,3,"6,306.06",6306.06,,,,
1674,1.12,Ideal,5,F,VVS2,6,"7,668.06",7668.06,,,,
2267,1.12,Ideal,5,E,SI2,2,"5,852.06",5852.06,,,,
392,1.12,Premium,4,D,SI2,2,"5,693.96",5693.96,,,,
716,1.12,Premium,4,J,SI2,2,"5,693.96",5693.96,,,,
1064,1.12,Premium,4,G,VVS2,6,"7,509.96",7509.96,,,,
1384,1.12,Premium,4,H,SI1,3,"6,147.96",6147.96,,,,
1022,1.12,Very Good,3,E,VS2,5,"6,897.86",6897.86,,,,
1105,1.12,Very Good,3,F,SI1,3,"5,989.86",5989.86,,,,
2880,1.12,Very Good,3,I,VS2,5,"6,897.86",6897.86,,,,
26,1.11,Ideal,5,E,SI2,2,"5,767.93",5767.93,,,,
189,1.11,Ideal,5,H,VVS2,6,"7,583.93",7583.93,,,,
572,1.11,Ideal,5,F,VS2,5,"7,129.93",7129.93,,,,
958,1.11,Ideal,5,G,VS1,4,"6,675.93",6675.93,,,,
1274,1.11,Ideal,5,E,VS2,5,"7,129.93",7129.93,,,,
2266,1.11,Ideal,5,G,VS2,5,"7,129.93",7129.93,,,,
2275,1.11,Ideal,5,G,VS2,5,"7,129.93",7129.93,,,,
2991,1.11,Ideal,5,D,VVS2,6,"7,583.93",7583.93,,,,
277,1.11,Premium,4,G,SI1,3,"6,063.83",6063.83,,,,
502,1.11,Premium,4,D,VS2,5,"6,971.83",6971.83,,,,
831,1.11,Premium,4,I,SI2,2,"5,609.83",5609.83,,,,
1080,1.11,Premium,4,F,SI1,3,"6,063.83",6063.83,,,,
2028,1.11,Premium,4,G,SI2,2,"5,609.83",5609.83,,,,
2317,1.11,Premium,4,F,SI2,2,"5,609.83",5609.83,,,,
2447,1.11,Premium,4,D,SI2,2,"5,609.83",5609.83,,,,
2730,1.11,Premium,4,H,SI1,3,"6,063.83",6063.83,,,,
447,1.11,Very Good,3,J,VS1,4,"6,359.73",6359.73,,,,
1088,1.11,Very Good,3,J,SI1,3,"5,905.73",5905.73,,,,
1166,1.11,Very Good,3,H,SI1,3,"5,905.73",5905.73,,,,
1282,1.11,Very Good,3,H,SI2,2,"5,451.73",5451.73,,,,
1978,1.11,Very Good,3,H,SI1,3,"5,905.73",5905.73,,,,
2043,1.11,Very Good,3,F,VVS1,7,"7,721.73",7721.73,,,,
2394,1.11,Very Good,3,E,VS1,4,"6,359.73",6359.73,,,,
606,1.11,Good,2,H,SI2,2,"5,293.63",5293.63,,,,
720,1.11,Good,2,I,VS2,5,"6,655.63",6655.63,,,,
2993,1.11,Good,2,F,SI1,3,"5,747.63",5747.63,,,,
139,1.1,Ideal,5,G,VS1,4,"6,591.80",6591.8,,,,
674,1.1,Ideal,5,F,VS1,4,"6,591.80",6591.8,,,,
1373,1.1,Ideal,5,H,SI1,3,"6,137.80",6137.8,,,,
1720,1.1,Ideal,5,G,VS1,4,"6,591.80",6591.8,,,,
2478,1.1,Ideal,5,G,VS1,4,"6,591.80",6591.8,,,,
2914,1.1,Ideal,5,I,SI1,3,"6,137.80",6137.8,,,,
523,1.1,Premium,4,F,VS2,5,"6,887.70",6887.7,,,,
549,1.1,Premium,4,G,VS2,5,"6,887.70",6887.7,,,,
617,1.1,Premium,4,G,VS2,5,"6,887.70",6887.7,,,,
733,1.1,Premium,4,E,SI2,2,"5,525.70",5525.7,,,,
863,1.1,Premium,4,H,SI1,3,"5,979.70",5979.7,,,,
426,1.1,Very Good,3,I,SI2,2,"5,367.60",5367.6,,,,
1227,1.1,Very Good,3,E,SI2,2,"5,367.60",5367.6,,,,
2430,1.1,Very Good,3,I,VS1,4,"6,275.60",6275.6,,,,
2994,1.1,Good,2,D,SI2,2,"5,209.50",5209.5,,,,
98,1.09,Ideal,5,H,SI1,3,"6,053.67",6053.67,,,,
203,1.09,Ideal,5,G,SI2,2,"5,599.67",5599.67,,,,
481,1.09,Ideal,5,E,VS2,5,"6,961.67",6961.67,,,,
764,1.09,Ideal,5,G,VVS2,6,"7,415.67",7415.67,,,,
991,1.09,Ideal,5,E,SI2,2,"5,599.67",5599.67,,,,
1191,1.09,Ideal,5,H,SI1,3,"6,053.67",6053.67,,,,
1962,1.09,Ideal,5,H,SI1,3,"6,053.67",6053.67,,,,
2904,1.09,Ideal,5,E,SI1,3,"6,053.67",6053.67,,,,
257,1.09,Premium,4,I,VS2,5,"6,803.57",6803.57,,,,
261,1.09,Premium,4,I,VS1,4,"6,349.57",6349.57,,,,
382,1.09,Premium,4,F,SI1,3,"5,895.57",5895.57,,,,
538,1.09,Premium,4,H,SI1,3,"5,895.57",5895.57,,,,
710,1.09,Premium,4,H,SI1,3,"5,895.57",5895.57,,,,
1196,1.09,Premium,4,I,SI1,3,"5,895.57",5895.57,,,,
2828,1.09,Premium,4,G,VS2,5,"6,803.57",6803.57,,,,
2997,1.09,Premium,4,I,VS2,5,"6,803.57",6803.57,,,,
527,1.09,Good,2,H,SI1,3,"5,579.37",5579.37,,,,
615,1.08,Ideal,5,G,VS2,5,"6,877.54",6877.54,,,,
1460,1.08,Ideal,5,F,VS2,5,"6,877.54",6877.54,,,,
1603,1.08,Ideal,5,H,SI2,2,"5,515.54",5515.54,,,,
1686,1.08,Ideal,5,G,IF,8,"8,239.54",8239.54,,,,
2264,1.08,Ideal,5,E,VS1,4,"6,423.54",6423.54,,,,
2309,1.08,Ideal,5,H,SI1,3,"5,969.54",5969.54,,,,
2392,1.08,Ideal,5,G,VS1,4,"6,423.54",6423.54,,,,
88,1.08,Premium,4,H,SI2,2,"5,357.44",5357.44,,,,
331,1.08,Premium,4,H,VS1,4,"6,265.44",6265.44,,,,
1148,1.08,Premium,4,F,SI1,3,"5,811.44",5811.44,,,,
2259,1.08,Premium,4,G,SI2,2,"5,357.44",5357.44,,,,
2825,1.08,Premium,4,G,SI1,3,"5,811.44",5811.44,,,,
551,1.08,Very Good,3,F,SI1,3,"5,653.34",5653.34,,,,
2613,1.08,Very Good,3,G,SI2,2,"5,199.34",5199.34,,,,
2755,1.08,Very Good,3,H,VVS1,7,"7,469.34",7469.34,,,,
1107,1.08,Good,2,G,SI2,2,"5,041.24",5041.24,,,,
788,1.07,Ideal,5,G,SI1,3,"5,885.41",5885.41,,,,
816,1.07,Ideal,5,F,VVS2,6,"7,247.41",7247.41,,,,
926,1.07,Ideal,5,G,SI1,3,"5,885.41",5885.41,,,,
1001,1.07,Ideal,5,G,VS2,5,"6,793.41",6793.41,,,,
1595,1.07,Ideal,5,E,VVS2,6,"7,247.41",7247.41,,,,
1949,1.07,Ideal,5,G,SI1,3,"5,885.41",5885.41,,,,
2243,1.07,Ideal,5,H,SI2,2,"5,431.41",5431.41,,,,
1442,1.07,Premium,4,F,SI2,2,"5,273.31",5273.31,,,,
2327,1.07,Premium,4,F,SI1,3,"5,727.31",5727.31,,,,
2712,1.07,Premium,4,H,VS2,5,"6,635.31",6635.31,,,,
2972,1.07,Premium,4,E,SI2,2,"5,273.31",5273.31,,,,
785,1.07,Very Good,3,G,VS2,5,"6,477.21",6477.21,,,,
1121,1.07,Very Good,3,G,VS1,4,"6,023.21",6023.21,,,,
1070,1.07,Good,2,J,VS2,5,"6,319.11",6319.11,,,,
168,1.06,Ideal,5,E,SI1,3,"5,801.28",5801.28,,,,
377,1.06,Ideal,5,I,SI2,2,"5,347.28",5347.28,,,,
849,1.06,Ideal,5,G,VS1,4,"6,255.28",6255.28,,,,
1426,1.06,Ideal,5,G,VS2,5,"6,709.28",6709.28,,,,
1858,1.06,Ideal,5,F,I1,1,"4,893.28",4893.28,,,,
2215,1.06,Ideal,5,E,SI2,2,"5,347.28",5347.28,,,,
2482,1.06,Ideal,5,D,VVS2,6,"7,163.28",7163.28,,,,
2628,1.06,Ideal,5,H,SI2,2,"5,347.28",5347.28,,,,
2740,1.06,Ideal,5,G,VVS2,6,"7,163.28",7163.28,,,,
106,1.06,Premium,4,G,SI2,2,"5,189.18",5189.18,,,,
951,1.06,Premium,4,F,I1,1,"4,735.18",4735.18,,,,
1687,1.06,Premium,4,H,VS2,5,"6,551.18",6551.18,,,,
2050,1.06,Premium,4,G,SI2,2,"5,189.18",5189.18,,,,
146,1.06,Very Good,3,I,SI2,2,"5,031.08",5031.08,,,,
1056,1.06,Very Good,3,E,SI1,3,"5,485.08",5485.08,,,,
1324,1.06,Very Good,3,F,SI1,3,"5,485.08",5485.08,,,,
1443,1.06,Very Good,3,F,SI1,3,"5,485.08",5485.08,,,,
1973,1.06,Very Good,3,F,VS2,5,"6,393.08",6393.08,,,,
299,1.05,Ideal,5,G,SI1,3,"5,717.15",5717.15,,,,
501,1.05,Ideal,5,E,VVS2,6,"7,079.15",7079.15,,,,
1101,1.05,Ideal,5,J,VS1,4,"6,171.15",6171.15,,,,
1306,1.05,Ideal,5,F,VVS1,7,"7,533.15",7533.15,,,,
1342,1.05,Ideal,5,H,SI1,3,"5,717.15",5717.15,,,,
1509,1.05,Ideal,5,H,SI1,3,"5,717.15",5717.15,,,,
1512,1.05,Ideal,5,I,SI1,3,"5,717.15",5717.15,,,,
2646,1.05,Ideal,5,F,SI1,3,"5,717.15",5717.15,,,,
2721,1.05,Ideal,5,G,SI1,3,"5,717.15",5717.15,,,,
2933,1.05,Ideal,5,H,SI1,3,"5,717.15",5717.15,,,,
409,1.05,Premium,4,G,VS1,4,"6,013.05",6013.05,,,,
1778,1.05,Premium,4,H,SI1,3,"5,559.05",5559.05,,,,
2659,1.05,Premium,4,J,VS1,4,"6,013.05",6013.05,,,,
2979,1.05,Premium,4,J,VS1,4,"6,013.05",6013.05,,,,
1701,1.05,Very Good,3,G,VS2,5,"6,308.95",6308.95,,,,
1780,1.05,Very Good,3,D,VS2,5,"6,308.95",6308.95,,,,
2140,1.05,Very Good,3,E,SI2,2,"4,946.95",4946.95,,,,
2486,1.05,Very Good,3,H,SI1,3,"5,400.95",5400.95,,,,
2567,1.05,Very Good,3,G,IF,8,"7,670.95",7670.95,,,,
2709,1.05,Very Good,3,E,VVS1,7,"7,216.95",7216.95,,,,
2998,1.05,Very Good,3,G,SI1,3,"5,400.95",5400.95,,,,
396,1.05,Good,2,G,SI2,2,"4,788.85",4788.85,,,,
1531,1.05,Fair,1,I,VS1,4,"5,538.75",5538.75,,,,
263,1.04,Ideal,5,E,VVS2,6,"6,995.02",6995.02,,,,
725,1.04,Ideal,5,H,SI1,3,"5,633.02",5633.02,,,,
1928,1.04,Ideal,5,G,VS2,5,"6,541.02",6541.02,,,,
2148,1.04,Ideal,5,F,SI1,3,"5,633.02",5633.02,,,,
2448,1.04,Ideal,5,G,VVS1,7,"7,449.02",7449.02,,,,
2653,1.04,Ideal,5,G,VS2,5,"6,541.02",6541.02,,,,
163,1.04,Premium,4,G,SI2,2,"5,020.92",5020.92,,,,
316,1.04,Premium,4,H,SI1,3,"5,474.92",5474.92,,,,
1096,1.04,Premium,4,D,VS1,4,"5,928.92",5928.92,,,,
1438,1.04,Premium,4,D,VVS2,6,"6,836.92",6836.92,,,,
1568,1.04,Premium,4,G,SI2,2,"5,020.92",5020.92,,,,
1860,1.04,Premium,4,G,SI2,2,"5,020.92",5020.92,,,,
1956,1.04,Premium,4,I,SI1,3,"5,474.92",5474.92,,,,
2138,1.04,Premium,4,F,SI2,2,"5,020.92",5020.92,,,,
2763,1.04,Premium,4,D,SI2,2,"5,020.92",5020.92,,,,
1704,1.04,Very Good,3,F,VS2,5,"6,224.82",6224.82,,,,
2935,1.04,Very Good,3,E,SI1,3,"5,316.82",5316.82,,,,
1770,1.04,Good,2,D,SI1,3,"5,158.72",5158.72,,,,
2401,1.04,Good,2,F,SI2,2,"4,704.72",4704.72,,,,
1055,1.03,Ideal,5,H,SI1,3,"5,548.89",5548.89,,,,
1474,1.03,Ideal,5,E,SI1,3,"5,548.89",5548.89,,,,
1612,1.03,Ideal,5,I,SI2,2,"5,094.89",5094.89,,,,
1621,1.03,Ideal,5,F,VVS2,6,"6,910.89",6910.89,,,,
1677,1.03,Ideal,5,G,SI1,3,"5,548.89",5548.89,,,,
2047,1.03,Ideal,5,G,VVS1,7,"7,364.89",7364.89,,,,
